candidate_id,english,us_auth,license_three_years,dot_cert,clean_criminal_record,weight_acceptance,truck_xp,pkg_delv_xp,marijuana,start_timeframe,weekly_avalibility,clean_driving_record,resume_url,created_at,previous_xp_description,truck_xp_desc
80,True,True,True,False,False,True,True,True,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",True,,1/7/2025 6:39:55,Door dash 50-75 deliverys .. two Men and a truck moving company depending on day to day,Two Men and a truck moving company delivery Driver
81,True,True,True,False,True,True,True,True,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",True,,1/7/2025 7:12:34,100 plus helped with driver helper at UPS seasonal twice,U-Haul size vehicles
82,True,True,True,False,True,True,False,True,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday",True,,1/7/2025 7:28:42,Amazon,
83,True,True,True,False,True,True,True,True,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",True,,1/7/2025 7:40:47,McKee foods,Limousine
85,True,True,True,False,True,True,True,True,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",True,,1/7/2025 8:45:17,"I was scanning and delivering packages with ups. 70+ stops with 200-400 pieces going out to businesses, apartments and resi of course..",Ups truck
86,True,True,True,False,True,True,True,False,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",True,,1/7/2025 11:14:12,,26ft flat bed.box truck
87,True,True,True,False,True,True,True,True,No - I do not consume marijuana,As soon as possible,"Wednesday, Thursday, Monday, Tuesday, Friday, Saturday, Sunday",True,,1/7/2025 11:19:36,I did 20 stops a day deliverying and installing appliances,"12,16,24 foot box truck"
88,True,True,True,False,True,False,False,False,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday",True,,1/7/2025 12:09:07,,
89,True,True,True,False,True,True,True,True,No - I do not consume marijuana,Two (2) weeks from now,"Monday, Tuesday, Wednesday, Thursday, Friday",True,,1/7/2025 12:22:27,I would deliver pharmaceutical supplies to different hospitals and pharmacies around the Sacramento area. Usually I would have around 15-20 stops a day. Nothing compared to 160 stops but I can do my best.,I have experience driving 26ft box trucks to do my deliveries.
90,True,True,True,False,True,True,True,True,Yes - I recreationally consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday",True,,1/7/2025 13:41:07,It would vary I was working at Amazon until i relocated so I resigned and moved places and I would typically do 250-400 pkgs a day if I was in down town it would be like 63 stops or something like that just doing big drop offs. I would also deliver to Hollywood hills silver lake Los Feliz and around that area I would have like 120 stops or more,The Amazon step vans and box trucks for when I was in downtown
